type,x,y,z
point,-0.909718,0.0596115,0.0208115
point,-1.33233,0.0572047,-0.0841147
point,-1.37518,0.0589747,-0.088828
point,-1.3763,0.0595187,-0.0870698
point,-1.57705,0.0338941,-0.22354
point,-1.37864,0.0613868,-0.0877779
point,-1.2749,0.0434352,-0.142957
point,-1.35369,0.0452497,-0.151569
point,-0.193975,0.0373889,0.0668023
point,-1.70198,0.510306,1.40786
point,-1.70152,0.510925,1.41018
point,-1.63194,0.49159,1.35138
point,-1.56539,0.472564,1.29774
point,-0.230314,0.0782818,0.165393
point,-1.86537,0.244202,0.144169
point,-1.78643,0.236414,0.140137
point,-0.435576,0.0605389,0.0150036
point,-0.454646,0.0432226,-0.0632123
point,-0.263565,0.0947175,0.199319
point,-0.261729,0.0942275,0.19817
point,-0.294638,0.0491063,0.0100139
point,-0.309345,0.0964745,0.145522
point,-1.76642,0.586629,1.08123
point,-0.302028,0.0585868,0.0139415
point,-1.80439,0.5772,0.959325
point,-1.62453,0.553113,0.969603
point,-0.316685,0.0897527,0.0863263
point,-0.319386,0.0906163,0.087013
point,-1.6037,0.579178,1.04447
point,-1.72712,0.656311,1.23688
point,-1.64732,0.627169,1.18125
point,-1.51776,0.580405,1.0886
point,-1.73391,0.565233,0.894178
point,-1.6601,0.542256,0.857494
point,-1.81613,0.59385,0.940448
point,-1.5783,0.606043,1.12508
point,-1.72994,0.66478,1.23539
point,-0.299345,0.0630536,0.0170911
point,-1.84048,0.569308,0.831485
point,-1.69239,0.590458,0.962981
point,-0.281145,0.111617,0.164335
point,-2.21032,0.397095,-0.106563
point,-1.90147,0.344147,-0.090782
point,-0.377555,0.135465,0.179388
point,-0.365861,0.131576,0.174217
point,-0.402266,0.150527,0.217242
point,-0.390298,0.146639,0.211158
point,-0.219596,0.0531232,0.0125828
point,-0.329339,0.118315,0.144349
point,-1.9264,0.390518,-0.0287694
point,-1.65889,0.338799,-0.0239908
point,-0.326756,0.117771,0.143189
point,-1.81188,0.369512,-0.0275923
point,-1.60283,0.329012,-0.0236014
point,-1.93689,0.409139,-0.0131272
point,-1.93699,0.409956,-0.0104143
point,-0.233613,0.0584163,0.0112804
point,-1.94219,0.42056,0.00160233
point,-1.67849,0.365948,0.00221811
point,-2.04671,0.454809,0.038834
point,-1.94454,0.423833,0.000816644
point,-1.68054,0.368782,0.00154042
point,-1.94537,0.434465,0.0364037
point,-1.73288,0.849478,1.59505
point,-1.90354,0.62347,0.678121
point,-1.3102,0.436136,0.472991
point,-1.74392,0.57393,0.621093
point,-1.31099,0.4384,0.472907
point,-2.11233,0.489526,0.0376315
point,-1.48739,0.746873,1.37835
point,-1.89887,0.241552,-0.693635
point,-1.51399,0.195905,-0.553299
point,-1.90309,0.244629,-0.696171
point,-1.51749,0.198377,-0.555364
point,-1.7379,0.41699,-0.00457447
point,-2.08955,0.511002,0.0329994
point,-1.21182,0.299408,0.0219412
point,-1.98885,0.486791,-0.0173997
point,-1.99333,0.496996,-0.00780052
point,-1.99328,0.497825,-0.0049782
point,-1.61533,0.28062,-0.43637
point,-2.11215,0.54187,0.0295381
point,-1.99478,0.512036,0.0310024
point,-0.807708,0.209167,0.0132697
point,-1.40226,0.339813,-0.0998401
point,-2.17103,0.5624,-0.0480167
point,-2.12895,0.553364,-0.0475893
point,-2.01592,0.533622,-0.0104658
point,-1.12434,0.186583,-0.42289
point,-2.02705,0.552248,-0.0118276
point,-0.775024,0.220092,0.0152774
point,-0.746748,0.213205,0.014483
point,-2.04347,0.573347,-0.0324316
point,-2.04331,0.574179,-0.0295163
point,-1.76396,0.502931,-0.04227
point,-2.05449,0.592467,-0.0339795
point,-2.0543,0.593298,-0.0310421
point,-2.05787,0.591153,-0.0525231
point,-2.05768,0.591987,-0.0495834
point,-2.20526,0.82866,0.442973
point,-2.29044,0.777776,-0.132448
point,-1.60007,1.02062,1.42391
point,-1.98274,0.685647,-0.0930627
point,-2.30215,0.791631,-0.150463
point,-3.1225,1.11367,-0.0539657
point,-2.29962,0.82575,-0.0371156
point,-2.14644,0.767753,-0.054016
point,-2.14375,0.772592,-0.0352448
point,-1.86545,0.672793,-0.0467613
point,-1.98164,0.714702,-0.05137
point,-1.76929,0.640358,-0.0448791
point,-2.14667,0.790727,-0.0791017
point,-2.16921,0.804358,-0.0797736
point,-1.88167,0.70046,-0.0682144
point,-1.99865,0.744019,-0.074169
point,-1.49711,1.13938,1.38204
point,-1.49609,1.13948,1.38379
point,-2.31221,0.961337,-0.354743
point,-2.12184,0.885327,-0.326392
point,-2.50792,1.05842,-0.405757
point,-2.61798,1.1074,-0.420221
point,-2.32873,0.985921,-0.37764
point,-2.51051,1.06466,-0.403762
point,-2.33013,0.991292,-0.375627
point,-1.56028,0.7456,-0.0505663
point,-2.5836,1.33584,0.198041
point,-2.42555,1.25587,0.187673
point,-2.76418,1.43007,0.195487
point,-2.2143,1.15063,0.154077
point,-2.21339,1.15126,0.157406
point,-1.45143,0.784121,0.152626
point,-0.320198,0.126603,-0.144508
point,-2.02128,1.06563,0.120373
point,-1.8441,0.975248,0.113895
point,-1.97959,1.06038,0.151618
point,-2.53965,1.23508,-0.238671
point,-3.05764,1.45921,-0.411202
point,-2.35728,1.12782,-0.315585
point,-2.35631,1.1285,-0.311971
point,-2.68387,1.28527,-0.362069
point,-2.14778,1.03098,-0.288409
point,-2.54385,1.2625,-0.217314
point,-2.32886,1.15929,-0.199787
point,-2.32789,1.15995,-0.196224
point,-2.5803,1.26653,-0.334165
point,-2.98067,1.51459,-0.218665
point,-2.36539,1.16453,-0.307234
point,-2.61534,1.33213,-0.196806
point,-2.55037,1.30227,-0.190681
point,-2.26882,1.307,0.1625
point,-1.88409,1.06003,0.0155951
point,-2.61312,1.74947,-0.140835
point,-2.6022,1.74922,-0.119866
point,-2.60002,1.74917,-0.115689
point,-2.06525,1.45724,0.0995267
point,-2.15772,1.53873,0.154262
point,-2.04719,1.46154,0.14791
point,-2.4182,1.74289,0.227124
point,-2.61361,1.7545,-0.142115
point,-2.60049,1.75417,-0.116947
point,-2.37673,1.60563,-0.105277
point,-3.35658,2.07767,-0.762832
point,-2.87961,1.78776,-0.655902
point,-2.55586,1.58967,-0.580764
point,-2.50605,1.5606,-0.572123
point,-3.0203,2.06143,-0.168451
point,-3.02114,2.06748,-0.169954
point,-3.01835,2.06721,-0.165057
point,-2.50836,1.7847,0.0536864
point,-2.32072,1.65339,0.0513482
point,-2.41293,1.779,0.230169
point,-2.61496,1.79462,-0.148153
point,-2.48537,1.78816,0.0958024
point,-2.45409,1.78627,0.153738
point,-2.28511,1.66535,0.144859
point,-2.41299,1.78355,0.229152
point,-2.52584,1.79519,0.0195389
point,-2.5237,1.79507,0.0235435
point,-2.29569,1.45326,-0.525557
point,-2.86461,2.08542,0.0991095
point,-2.48839,1.81658,0.085245
point,-2.64751,1.83655,-0.21437
point,-2.64522,1.83642,-0.210034
point,-2.41508,1.67909,-0.190154
point,-2.6456,1.8415,-0.211369
point,-2.54506,1.8397,-0.023354
point,-0.767272,0.502362,-0.181876
point,-2.64967,1.86705,-0.222414
point,-3.06732,2.16257,-0.252873
point,-2.17286,1.53617,-0.18525
point,-2.42241,1.71378,-0.202923
point,-3.07507,2.2058,-0.269058
point,-3.15941,2.2306,-0.413559
point,-3.15627,2.23012,-0.408212
point,-3.43467,2.27941,-0.880713
point,-2.92789,1.94868,-0.752341
point,-3.21545,2.25175,-0.509499
point,-3.21634,2.25824,-0.511335
point,-1.79485,1.21206,-0.466215
point,-0.22468,0.149076,-0.0790244
point,-0.221687,0.147537,-0.0781123
point,-2.65649,1.95849,-0.251108
point,-2.65905,1.96382,-0.256902
point,-2.65665,1.96355,-0.252464
point,-2.65426,1.96327,-0.248033
point,-3.47114,2.65112,-0.0868902
point,-3.16736,2.30018,-0.432664
point,-2.70544,1.97423,-0.343892
point,-2.6568,1.9686,-0.253821
point,-2.85749,2.24407,0.0844221
point,-2.72052,1.98113,-0.372886
point,-3.5337,2.67996,-0.182469
point,-2.98028,2.27251,-0.120223
point,-2.97734,2.27197,-0.115331
point,-2.6723,2.04213,-0.10167
point,-2.65977,2.04317,-0.0712851
point,-2.98064,2.29159,-0.0754613
point,-2.47762,1.95095,0.0723328
point,-2.83819,2.24584,0.114904
point,-2.83544,2.24531,0.119415
point,-2.83269,2.24478,0.12392
point,-2.63314,1.97577,-0.212414
point,-3.00421,2.2827,-0.161131
point,-3.00123,2.28215,-0.156171
point,-2.98052,2.2783,-0.121677
point,-2.97758,2.27776,-0.116782
point,-2.95419,2.27339,-0.0779042
point,-2.4621,1.95344,0.0988351
point,-2.45991,1.95313,0.102761
point,-3.08711,2.30994,-0.3014
point,-2.74149,2.05446,-0.265873
point,-2.65741,1.99382,-0.260612
point,-2.44145,1.83419,-0.23778
point,-2.98271,2.10199,-0.815998
point,-2.47754,1.75016,-0.676777
point,-2.98469,2.10882,-0.818258
point,-2.98239,2.10883,-0.813045
point,-4.19545,2.9969,-1.16461
point,-3.4867,2.49541,-0.975145
point,-3.48274,2.4945,-0.968681
point,-2.99637,2.14987,-0.831834
point,-2.73101,2.10133,-0.420402
point,-2.72843,2.10091,-0.415684
point,-0.420642,0.329232,-0.062812
point,-3.09616,2.44331,-0.342126
point,-2.66469,2.1053,-0.304179
point,-2.65969,2.10443,-0.295099
point,-2.66207,2.10984,-0.301005
point,-3.09988,2.47993,-0.357162
point,-2.66135,2.1347,-0.307853
point,-2.66118,2.13966,-0.309222
point,-0.586772,0.46896,-0.0927041
point,-0.316022,0.255184,-0.04891
point,-0.316047,0.25581,-0.0490849
point,-2.66247,2.16984,-0.322019
point,-0.736497,0.611057,-0.0898009
point,-0.321823,0.266934,-0.0489544
point,-0.891132,0.740024,-0.109297
point,-0.939799,0.780721,-0.11379
point,-2.32269,1.92487,-0.289364
point,-0.403435,0.333031,-0.0668446
point,-3.10454,2.59981,-0.400379
point,-3.10115,2.59881,-0.394938
point,-3.09777,2.59782,-0.389507
point,-2.65859,2.23366,-0.339829
point,-2.65601,2.23307,-0.335208
point,-0.316929,0.269422,-0.0545841
point,-0.89003,0.771686,-0.119641
point,-3.17607,2.72362,-0.551607
point,-2.85809,2.45401,-0.494503
point,-2.88907,2.6501,-0.105839
point,-2.51176,2.32976,-0.143735
point,-4.70511,4.00342,-1.99065
point,-3.76892,3.21492,-1.59715
point,-3.68179,3.56825,-0.63473
point,-3.1017,3.01194,-0.538842
point,-3.06956,2.98194,-0.530764
point,-2.55755,2.54574,-0.345726
point,-2.53657,2.53794,-0.308907
point,-2.62293,2.58052,-0.464556
point,-3.06209,3.01282,-0.539954
point,-2.59542,2.56927,-0.418713
point,-2.62154,2.58379,-0.467993
point,-2.6188,2.58277,-0.463158
point,-2.59435,2.57363,-0.420009
point,-2.59165,2.57262,-0.415256
point,-3.02529,3.03009,-0.503575
point,-3.02171,3.02846,-0.49794
point,-3.52781,3.45468,-1.41903
point,-3.52288,3.45101,-1.41422
point,-3.52367,3.45794,-1.41974
point,-3.52103,3.45648,-1.41584
point,-2.57715,2.62587,-0.830577
point,-3.40159,3.61251,-0.885423
point,-4.6383,4.59533,-2.25012
point,-3.04022,3.06099,-1.48309
point,-0.814016,0.897479,-0.216182
point,-2.09675,2.62382,0.214862
point,-3.29104,3.52348,-1.19864
point,-4.19382,4.44438,-1.73878
point,-4.18696,4.43988,-1.72909
point,-3.40857,3.6204,-1.41564
point,-3.40396,3.61775,-1.40815
point,-2.86966,3.0549,-1.19387
point,-2.86632,3.05324,-1.18778
point,-0.829435,0.906548,-0.344084
point,-1.87946,2.1203,-0.800626
point,-1.70488,1.92752,-0.727485
point,-0.988834,1.13467,-0.430528
point,-0.938861,1.07962,-0.409447
point,-3.39675,4.06578,-1.10102
point,-2.86672,3.43859,-0.931073
point,-3.00189,3.60059,-0.972142
point,-1.14603,1.99956,1.08863
point,-1.5742,2.2983,0.357236
point,-1.16046,2.02805,1.04503
point,-1.18601,2.07256,1.06921
point,-0.971427,1.07018,-0.640614
point,-0.261922,0.303258,-0.158143
point,-0.258142,0.299509,-0.156078
point,-3.24945,3.80862,-1.86717
point,-1.94019,2.66866,-0.270912
point,-2.91132,3.62999,-1.34024
point,-2.90773,3.62761,-1.33366
point,-2.90629,3.6305,-1.34009
point,-2.90271,3.62813,-1.33351
point,-2.46405,3.11205,-1.22066
point,-2.90831,3.66947,-1.43694
point,-3.14204,3.96341,-1.54916
point,-2.90659,3.67202,-1.44324
point,-2.90306,3.66967,-1.43656
point,-2.68058,3.38829,-1.32376
point,-2.66058,3.35894,-1.50756
point,-1.99809,2.97249,-0.079646
point,-1.87882,2.80084,-0.0779009
point,-1.99604,2.97463,-0.0807019
point,-1.83337,2.71064,-0.197079
point,-0.972029,1.20884,-0.774155
point,-0.973468,1.21456,-0.784272
point,-1.35866,2.12436,-0.258726
point,-1.48902,2.1944,-0.649594
point,-2.18187,3.37304,-0.61994
point,-1.66126,2.63183,-0.361877
point,-1.87357,2.96522,-0.405772
point,-0.961273,1.54715,-0.194143
point,-2.18755,3.02214,-1.6427
point,-2.76071,3.80787,-2.06817
point,-3.01795,4.16609,-2.25623
point,-2.48888,3.43865,-1.86664
point,-2.86441,4.08714,-2.10529
point,-2.62374,3.74934,-1.93042
point,-1.2089,2.52347,0.728669
point,-1.29391,2.69919,0.78114
point,-2.58829,3.74304,-2.02354
point,-1.10728,2.31603,0.667553
point,-1.18015,2.46681,0.712603
point,-2.36483,3.42526,-1.85083
point,-1.83344,4.22178,1.77312
point,-1.21526,2.22221,-0.297244
point,-1.42596,2.60268,-0.346527
point,-0.766765,1.91732,0.742447
point,-0.649926,1.63629,0.631126
point,-0.615176,1.55202,0.597736
point,-0.886658,2.21028,0.781505
point,-0.787936,1.97039,0.696124
point,-1.61002,2.65123,-1.5135
point,-1.60877,2.66148,-1.48711
point,-1.60861,2.66258,-1.48415
point,-2.10921,3.48274,-1.94057
point,-1.60555,2.64695,-1.51381
point,-2.11558,3.4792,-1.98911
point,-2.11451,3.47924,-1.98443
point,-2.01413,3.32812,-1.85818
point,-1.59988,2.65426,-1.48508
point,-1.59855,2.66299,-1.4615
point,-2.09116,3.47524,-1.90649
point,-2.09442,3.47204,-1.94089
point,-1.59409,2.65998,-1.4591
point,-2.08557,3.47171,-1.90359
point,-1.61418,2.69534,-1.47819
point,-1.98964,3.31613,-1.8176
point,-1.45704,2.4396,-1.37622
point,-2.03951,3.43584,-1.91531
point,-2.04079,3.4313,-1.94366
point,-1.54183,2.62064,-1.43918
point,-1.54172,2.62179,-1.43636
point,-1.53752,2.61765,-1.43681
point,-2.0171,3.42553,-1.87955
point,-2.01611,3.4256,-1.87508
point,-1.52547,2.59154,-1.46802
point,-2.00658,3.41404,-1.89733
point,-1.11091,1.89927,-1.07961
point,-1.51686,2.58284,-1.46838
point,-1.93457,3.29059,-1.85314
point,-1.50812,2.58699,-1.44204
point,-1.50809,2.58824,-1.43935
point,-1.98581,3.39931,-1.88977
point,-1.98308,3.39502,-1.89977
point,-1.50354,2.59259,-1.42074
point,-1.49964,2.56529,-1.46883
point,-1.98622,3.38859,-1.93973
point,-1.91383,3.28018,-1.83488
point,-1.49954,2.58472,-1.42919
point,-1.49933,2.58961,-1.41841
point,-1.54268,2.6415,-1.50877
point,-1.49549,2.57284,-1.4454
point,-1.97401,3.38716,-1.90231
point,-0.954597,1.77643,-0.734921
point,-1.40778,2.57137,-1.37628
point,-1.79432,3.27214,-1.75022
point,-1.40425,2.56908,-1.37442
point,-1.74842,3.19178,-1.70673
point,-1.03906,1.97625,-1.01408
point,-1.07073,2.06317,-1.0281
point,-1.31386,2.52686,-1.25836
point,-1.08465,2.09121,-1.04192
point,-1.3042,2.49763,-1.33326
point,-1.63282,3.11955,-1.66455
point,-0.731718,1.55827,-0.758451
point,-0.712226,1.51883,-0.739011
point,-0.779361,1.75166,-0.852803
point,-0.885599,1.99406,-0.971455
point,-0.886813,1.99824,-0.973328
point,-0.711911,1.65966,-0.807982
point,-0.698223,1.62965,-0.793162
point,-0.294472,0.708099,-0.342294
point,-0.715876,0.050428,0.212274
point,-0.74815,0.0519357,0.22203
point,-0.818786,0.0586072,0.245102
point,-0.867498,0.061309,0.25849
point,-0.251967,0.0192072,0.0271373
point,-0.84058,0.0197505,0.0957861
point,-0.747823,-0.0183755,-0.0547914
point,-1.1339,0.0181942,0.10139
point,-1.16271,0.0161865,0.0791068
point,-1.10099,0.0165669,0.0759147
point,-0.236127,0.0415525,0.0770992
point,-0.921376,0.0805401,0.218389
point,-0.343172,0.106297,0.300167
point,-0.354918,0.109057,0.310533
point,-2.44977,-0.00265274,-0.14428
point,-0.355882,0.109674,0.310738
point,-2.42917,0.0033127,-0.134411
point,-2.5902,0.00508374,-0.146307
point,-2.42291,0.0064517,-0.135038
point,-2.18423,0.00813566,-0.119951
point,-1.82138,0.069027,0.112183
point,-1.29713,0.0568278,0.0883407
point,-2.66551,0.0128325,-0.214532
point,-1.9472,0.0411329,-0.075814
point,-2.10475,0.0445918,-0.0812657
point,-2.33811,0.0455483,-0.132318
point,-1.87207,0.0419673,-0.104396
point,-0.323777,0.112259,0.294303
point,-1.98547,0.0455186,-0.113058
point,-0.342423,0.117595,0.310112
point,-0.334651,0.115524,0.303682
point,-0.326395,0.113315,0.296821
point,-2.39917,0.0413998,-0.345273
point,-1.94185,0.0806225,-0.130231
point,-1.82998,0.0774659,-0.121316
point,-3.73006,0.0531104,-0.548691
point,-2.6664,0.0455146,-0.384578
point,-2.26399,0.092144,-0.152854
point,-2.06649,0.0862315,-0.137851
point,-0.36665,0.131447,0.310315
point,-0.365909,0.131393,0.310298
point,-1.43772,0.139682,0.0443425
point,-3.0153,0.145785,-0.380568
point,-1.4291,0.20057,0.0756054
point,-1.4361,0.166496,-0.108509
point,-1.04257,0.174082,0.048705
point,-1.15736,0.191701,0.0533282
point,-0.190867,0.0631371,0.0317351
point,-1.39473,0.278936,0.211134
point,-1.40578,0.23527,0.066098
point,-0.204959,0.0584819,0.014905
point,-0.501806,0.174082,0.229301
point,-0.223605,0.0935949,0.103859
point,-0.219537,0.0923696,0.102319
point,-0.367082,0.110232,0.0574876
point,-1.38196,0.25919,-0.0713359
point,-1.42749,0.29672,-0.0252208
point,-0.570262,0.207818,0.23964
point,-1.56932,0.325137,-0.0284409
point,-1.20888,0.337053,0.242655
point,-1.12772,0.316197,0.227635
point,-1.04525,0.294965,0.212239
point,-1.43243,0.310735,-0.0149205
point,-1.43084,0.31101,-0.0128879
point,-1.4212,0.316096,-0.00394545
point,-1.48952,0.299828,-0.118887
point,-1.68828,0.372202,-0.00699699
point,-1.52393,0.338439,-0.00483906
point,-1.50168,0.341965,0.0228283
point,-1.49988,0.342207,0.0249253
point,-1.0102,0.258873,0.0762562
point,-0.569047,0.155513,0.00967627
point,-0.601792,0.163618,0.00986096
point,-1.42369,0.343538,0.0342667
point,-0.642235,0.174939,0.0112242
point,-1.35334,0.176304,-0.501841
point,-1.31165,0.316561,-0.0119698
point,-1.3504,0.177278,-0.503263
point,-1.35407,0.178236,-0.502829
point,-0.777287,0.209538,0.0107622
point,-0.967905,0.254701,0.0125514
point,-1.4016,0.356437,-0.010082
point,-1.49851,0.380622,-0.0113698
point,-1.49691,0.380875,-0.00922862
point,-1.47585,0.385511,0.0155331
point,-1.47409,0.385705,0.0176196
point,-1.47498,0.387459,0.0149201
point,-1.01952,0.299587,0.0754396
point,-0.771253,0.202055,-0.0568662
point,-1.40243,0.367158,-0.0195885
point,-1.3947,0.368227,-0.00953879
point,-1.4018,0.369059,-0.0201671
point,-1.48989,0.392911,-0.0107762
point,-0.731931,0.235816,0.103253
point,-0.671914,0.218527,0.0957645
point,-0.619656,0.203471,0.0892334
point,-1.31067,0.349723,-0.0184757
point,-1.16643,0.301158,-0.0888995
point,-1.64754,0.264596,-0.627172
point,-1.27257,0.356994,-0.0127728
point,-1.33401,0.374117,-0.0138627
point,-1.01097,0.270293,-0.0800579
point,-1.39092,0.399805,-0.0274026
point,-1.33439,0.383786,-0.024885
point,-1.32454,0.387095,-0.0119541
point,-1.47814,0.433328,-0.032194
point,-1.33048,0.392624,-0.0276311
point,-1.32922,0.392851,-0.0256963
point,-0.67684,0.20793,-0.0478843
point,-1.39481,0.410289,-0.0410416
point,-1.3934,0.410501,-0.0390018
point,-0.72036,0.220369,-0.0513354
point,-1.3176,0.402898,-0.0168879
point,-1.32887,0.418813,-0.0539238
point,-1.07181,0.357923,0.0142935
point,-1.16697,0.361956,-0.0972914
point,-1.26017,0.435388,-0.0557093
point,-1.15069,0.401117,-0.0518924
point,-1.15901,0.405087,-0.10479
point,-1.23223,0.453777,-0.0251962
point,-1.22395,0.427403,-0.111114
point,-1.16021,0.412477,-0.0822404
point,-1.1616,0.426638,-0.0347977
point,-1.28037,0.471568,-0.0266099
point,-1.17355,0.431693,-0.0354505
point,-3.32754,1.32548,0.0263204
point,-1.04894,0.459635,-0.0735081
point,-1.08874,0.477019,-0.0766744
point,-0.253608,0.216007,0.240711
point,-0.2412,0.20691,0.229894
point,-0.229628,0.198423,0.2198
point,-0.837249,0.458917,0.165481
point,-0.220708,0.0912438,-0.101356
point,-1.17352,0.508879,-0.197181
point,-1.04784,0.458107,-0.175326
point,-0.925821,0.43715,-0.0772469
point,-1.04596,0.486507,-0.158675
point,-1.10387,0.512956,-0.167862
point,-0.856008,0.461778,0.0552902
point,-0.85465,0.461506,0.0565241
