type,x,y,z
point,-0.269007,0.511133,0.00346493
point,-0.273284,0.508517,0.00464763
point,-2.3509,-0.813171,-0.148839
point,-2.18574,-0.754866,-0.363801
point,-2.48654,-0.897335,-0.157593
point,-2.30864,-0.803805,-0.304377
point,-2.35003,-0.798379,-0.265944
point,-1.83877,-0.538982,-0.591255
point,-2.09579,-0.710702,-0.682078
point,-2.04526,-0.648757,-0.560812
point,-2.04691,-0.646428,-0.561645
point,-2.27964,-0.799247,-0.627871
point,-2.04856,-0.644096,-0.562478
point,-2.28138,-0.796549,-0.628773
point,-2.06061,-0.628706,-0.555855
point,-2.06228,-0.626357,-0.556688
point,-2.13645,-0.67162,-0.578222
point,-1.96395,-0.57293,-0.621286
point,-2.12326,-0.674395,-0.673809
point,-3.68942,-1.66237,-1.19111
point,-3.42703,-0.912175,1.41766
point,-3.53007,-0.958601,1.46548
point,-3.42891,-0.907697,1.41696
point,-3.53153,-0.953764,1.46455
point,-2.2771,-0.634885,-0.542347
point,-3.42181,-0.875526,1.0564
point,-3.74528,-1.01665,1.16227
point,-3.74595,-1.01581,1.16777
point,-3.56885,-0.936405,1.05865
point,-3.74437,-1.01375,1.11676
point,-3.57612,-0.919304,0.965578
point,-3.59735,-0.88771,1.02533
point,-3.76871,-0.960138,1.08001
point,-3.63067,-0.833969,1.0235
point,-3.64244,-0.81545,1.02645
point,-3.96794,-0.942505,1.12334
point,-1.75068,-0.30119,-0.763567
point,-3.99611,-0.821539,1.67591
point,-3.35648,-0.695879,0.777122
point,-3.64254,-0.806951,0.847567
point,-3.22768,-1.09479,-1.45816
point,-2.81239,-0.688867,-0.427913
point,-3.66713,-0.773789,0.945456
point,-2.82156,-0.675576,-0.431824
point,-3.32727,-0.713093,0.434451
point,-2.72748,-0.565126,-0.156035
point,-3.07263,-0.716742,-0.177882
point,-3.23309,-0.78752,-0.184638
point,-3.70666,-0.718484,1.12252
point,-4.0552,-1.51462,-1.82955
point,-3.07517,-0.713109,-0.178814
point,-3.23569,-0.783647,-0.185616
point,-3.77434,-0.740908,1.14094
point,-4.03926,-0.83682,1.22874
point,-3.68868,-0.732233,0.744694
point,-3.68941,-0.731422,0.749997
point,-4.02521,-0.852761,0.822261
point,-3.73081,-0.680038,1.02024
point,-3.44174,-0.692474,0.367993
point,-3.70219,-0.791437,0.392612
point,-3.64849,-0.767401,0.388422
point,-3.67958,-0.727447,0.445877
point,-3.07226,-0.666041,-0.496119
point,-3.70873,-0.681161,0.361503
point,-3.70956,-0.680376,0.36679
point,-3.72954,-0.651803,0.345122
point,-3.73038,-0.651012,0.350424
point,-3.88364,-0.600794,0.84823
point,-3.72911,-0.647994,0.279011
point,-4.07143,-0.762294,0.306586
point,-4.10407,-0.725104,0.389323
point,-3.7648,-0.601244,0.286316
point,-3.83175,-0.620813,0.288649
point,-3.76816,-0.596789,0.285455
point,-4.12266,-0.700735,0.38482
point,-2.79544,-0.398241,-0.574721
point,-2.95518,-0.455068,-0.609215
point,-3.83746,-0.580681,0.0352369
point,-4.12596,-0.670753,0.0419975
point,-3.528,-0.463908,-0.0567747
point,-3.84215,-0.560256,-0.0581116
point,-3.97485,-0.464387,0.40732
point,-3.34949,-0.37324,-0.0898858
point,-3.59492,-0.445679,-0.0932639
point,-4.28737,-0.546383,0.441286
point,-3.55076,-0.429477,-0.0902372
point,-3.86819,-0.522937,-0.0947228
point,-4.32434,-0.516057,0.548575
point,-4.05333,-0.396167,0.709214
point,-4.32242,-0.46262,0.762334
point,-3.01265,-0.366635,-0.712222
point,-3.57431,-0.400267,-0.0972956
point,-4.89425,-0.37772,1.4396
point,-4.89485,-0.376526,1.44635
point,-5.18541,-0.434106,1.53973
point,-4.36175,-0.412468,0.487973
point,-4.51026,-0.341972,1.0487
point,-4.79445,-0.510617,0.539079
point,-4.42939,-0.387846,0.420868
point,-4.82308,-0.475843,0.464402
point,-5.87649,-0.584667,1.2381
point,-4.95875,-0.328319,1.00864
point,-4.96413,-0.322451,1.00809
point,-5.00888,-0.250999,1.42034
point,-5.00951,-0.249783,1.4272
point,-4.96953,-0.316576,1.00754
point,-5.53977,-0.337369,1.57683
point,-5.01495,-0.243828,1.42697
point,-4.55973,-0.180502,0.975704
point,-5.05285,-0.203152,1.41847
point,-5.05347,-0.201926,1.42537
point,-5.02273,-0.25631,1.07932
point,-5.59248,-0.2834,1.58335
point,-5.10863,-0.143854,1.40934
point,-5.39283,-0.18428,1.49491
point,-6.09647,-0.281862,1.69725
point,-4.64388,-0.17109,0.522731
point,-6.16534,-0.208064,1.69459
point,-5.73346,-0.144963,1.56553
point,-5.13165,-0.144771,0.924034
point,-4.69327,-0.117702,0.501727
point,-5.10284,-0.179388,0.551899
point,-5.81015,-0.0719132,1.54883
point,-6.2508,-0.121318,1.67517
point,-6.25105,-0.119739,1.68352
point,-3.74106,-0.167982,-0.830985
point,-3.1713,-0.0215342,-0.599384
point,-5.85629,-0.0506641,1.18813
point,-5.89283,0.00249472,1.49209
point,-5.89366,0.00391157,1.50008
point,-6.50855,-0.117566,1.32503
point,-3.17907,0.0225655,-0.665145
point,-5.30052,0.0235134,0.89074
point,-5.30152,0.0247579,0.897946
point,-5.96031,0.065394,1.48312
point,-5.96116,0.0668253,1.49118
point,-5.96802,0.0726047,1.48302
point,-5.96887,0.0740378,1.49109
point,-4.80637,0.0220376,0.312505
point,-8.55437,-0.134851,2.16531
point,-5.99853,0.114485,1.63618
point,-6.43602,0.0810635,1.76437
point,-4.80997,0.0268119,0.304956
point,-5.18086,-0.0187972,0.338142
point,-6.04444,0.148262,1.53918
point,-6.72976,0.0916113,1.65743
point,-6.05242,0.155621,1.53917
point,-0.415483,0.529631,-0.0757351
point,-6.90604,0.254188,1.82637
point,-7.63433,0.220946,2.03048
point,-6.19428,0.280138,1.48122
point,-6.19518,0.281623,1.48951
point,-6.20904,0.278273,1.2555
point,-6.69689,0.308384,1.64255
point,-6.24311,0.328895,1.53947
point,-6.25427,0.341116,1.56455
point,-6.14774,0.348347,1.53183
point,-6.98889,0.317968,1.75407
point,-0.644753,0.524027,-0.203124
point,-6.48729,0.565662,1.75518
point,-5.97402,0.381729,0.386675
point,-5.6082,0.398568,0.367994
point,-5.98103,0.389194,0.385482
point,-5.98507,0.390531,0.393632
point,-6.20387,0.513967,0.709832
point,-7.44186,0.701595,1.93456
point,-6.31872,0.566524,0.968232
point,-6.55413,0.5713,1.0091
point,-6.1247,0.520428,0.424125
point,-7.29079,0.574156,0.749395
point,-7.3921,0.636348,1.09747
point,-7.51057,0.737667,1.65969
point,-7.54965,0.786788,1.93035
point,-6.21055,0.56576,0.546808
point,-7.52271,0.747365,1.65996
point,-5.71503,0.540666,0.21957
point,-6.07533,0.542622,0.233924
point,-6.1789,0.581138,0.406226
point,-6.18337,0.582628,0.414606
point,-7.64076,0.843244,1.7033
point,-8.52789,0.879024,1.89497
point,-7.65338,0.85322,1.70367
point,-6.77318,0.759278,1.09854
point,-7.57218,0.779262,1.2442
point,-5.08148,0.620232,0.282776
point,-7.58187,0.78722,1.23369
point,-7.58438,0.789086,1.24391
point,-7.5941,0.797065,1.23339
point,-7.59663,0.798937,1.24362
point,-8.0737,0.713989,0.460827
point,-8.85359,1.16421,2.77156
point,-6.87349,0.986394,1.54067
point,-7.90109,1.05117,1.78418
point,-7.91295,1.05978,1.77425
point,-7.91469,1.06172,1.78473
point,-8.85382,1.1254,1.93076
point,-6.3814,0.815159,0.334578
point,-5.56432,0.84301,0.620723
point,-6.61408,0.89693,0.748567
point,-6.38556,0.828152,0.314836
point,-3.90519,0.760953,0.327384
point,-2.77083,0.727438,0.349797
point,-6.51305,0.976237,0.28174
point,-2.46276,-0.885527,-0.66378
point,-2.4558,-0.880686,-0.660092
point,-2.43123,-0.873966,-0.768567
point,-2.5356,-0.93947,-0.803323
point,-5.02119,-1.63627,2.10446
point,-4.91051,-1.58507,2.05827
point,-5.36686,-1.78978,2.2582
point,-5.01088,-1.62225,2.10467
point,-4.58332,-1.38448,1.95781
point,-4.90286,-1.57543,1.13099
point,-5.23553,-1.72263,1.21354
point,-5.26338,-1.56458,1.73789
point,-5.26725,-1.56463,1.74664
point,-5.41083,-1.52611,2.17848
point,-5.25783,-1.46407,2.11651
point,-3.60929,-1.07995,-0.351129
point,-1.63149,-0.222513,-0.681112
point,-5.13029,-1.37284,1.55366
point,-4.97786,-1.31236,1.50746
point,-3.5315,-0.987973,-0.326427
point,-5.04746,-1.36216,1.19451
point,-3.78614,-1.10363,-0.348928
point,-3.75945,-1.08528,-0.375416
point,-5.45021,-1.44588,1.43204
point,-4.90877,-1.23458,1.28162
point,-5.43759,-1.43284,1.42645
point,-3.72815,-1.00231,-0.215589
point,-3.95177,-1.10398,-0.223472
point,-3.95475,-1.10412,-0.217967
point,-3.94256,-1.09383,-0.224033
point,-4.24657,-1.23039,-0.232391
point,-5.64294,-1.40423,1.37525
point,-5.64758,-1.40426,1.38435
point,-4.74703,-1.19659,0.514681
point,-4.75001,-1.19635,0.521731
point,-5.15595,-1.35072,0.564206
point,-4.62457,-1.14166,0.501358
point,-5.14541,-1.17932,1.21144
point,-5.54303,-1.31498,1.31183
point,-3.77624,-0.94664,-0.433199
point,-1.81545,-0.183434,-0.705367
point,-1.78549,-0.152673,-0.699109
point,-3.25182,-0.853299,-1.3088
point,-4.91553,-1.10613,0.488452
point,-4.36503,-0.871733,0.408337
point,-4.52964,-0.77748,0.134031
point,-4.42551,-0.744764,0.13282
point,-4.55135,-0.755657,0.207948
point,-1.91249,-0.0759442,-0.676401
point,-4.93115,-0.727339,0.515826
point,-4.7628,-0.681017,0.499107
point,-4.28755,-0.651903,-0.100751
point,-4.67622,-0.764827,-0.113595
point,-4.68055,-0.764796,-0.10716
point,-4.00337,-0.61838,-0.466353
point,-5.59007,-0.785219,1.00789
point,-5.37179,-0.730199,0.968792
point,-5.35892,-0.720856,0.95718
point,-5.31037,-0.663734,0.937179
point,-5.31488,-0.663364,0.945272
point,-5.06896,-0.604099,0.900958
point,-4.57661,-0.657677,-0.132609
