type,x,y,z
point,-1.41271,0.693017,0.480539
point,-0.913008,0.477428,0.0727253
point,-0.879956,0.462227,0.0691429
point,-0.881389,0.463128,0.0704394
point,-0.767593,0.430062,0.0781944
point,-0.817454,0.457236,0.0838968
point,-0.400757,0.208026,-0.127986
point,-0.360833,0.190658,-0.109255
point,-0.532835,0.33403,0.0220052
point,-0.516329,0.324111,0.0215782
point,-0.648815,0.407284,0.0523526
point,-0.471273,0.308183,0.011631
point,-0.410699,0.274923,0.00373875
point,-0.381492,0.261028,0.00918632
point,-0.396992,0.271746,0.00948218
point,-0.536981,0.388257,0.0874573
point,-0.603839,0.461732,0.163428
point,-0.291182,0.20905,0.00664195
point,-0.301248,0.216543,0.006795
point,-0.290316,0.208602,0.00673863
point,-0.844215,0.70556,0.396198
point,-0.683946,0.556023,0.227557
point,-0.685987,0.557921,0.229429
point,-0.688026,0.559819,0.231307
point,-0.682233,0.556119,0.228046
point,-0.696272,0.567995,0.234178
point,-0.606035,0.498199,0.195845
point,-0.800017,0.683353,0.369565
point,-0.251176,0.198514,0.0633452
point,-0.796412,0.681854,0.367878
point,-0.798356,0.683809,0.370234
point,-0.642671,0.533713,0.210251
point,-0.644722,0.535658,0.212056
point,-0.661052,0.549796,0.219045
point,-0.611859,0.508505,0.19864
point,-0.581323,0.500429,0.187608
point,-0.583388,0.502457,0.189328
point,-0.575722,0.496369,0.184586
point,-0.596602,0.515334,0.193332
point,-0.579854,0.500434,0.188009
point,-1.27129,0.627393,0.431553
point,-1.46961,0.722217,0.503928
point,-1.21404,0.616086,0.404176
point,-1.15562,0.587712,0.383708
point,-1.21071,0.616263,0.403114
point,-1.15267,0.58798,0.382775
point,-1.08918,0.557009,0.36035
point,-0.904398,0.474376,0.0707426
point,-1.00304,0.523129,0.0805762
point,-0.92195,0.482756,0.0741551
point,-0.748699,0.419999,0.0764069
point,-0.811503,0.45429,0.0835861
point,-0.446506,0.280674,0.0180829
point,-0.472561,0.296756,0.019201
point,-0.628594,0.395872,0.0506229
point,-0.595569,0.375637,0.0479814
point,-0.478088,0.304093,0.0159891
point,-0.410364,0.268456,0.00998535
point,-0.411301,0.269138,0.010503
point,-0.415802,0.275012,0.0175124
point,-0.441983,0.292273,0.0187064
point,-0.390942,0.260869,0.00331558
point,-0.372688,0.248958,0.00352385
point,-0.327499,0.219989,0.00432755
point,-0.387961,0.259468,0.00325003
point,-0.369947,0.247677,0.00346052
point,-0.353944,0.237566,0.0042336
point,-0.339026,0.227777,0.00435616
point,-0.369782,0.248232,0.00426329
point,-0.307595,0.220923,0.00677463
point,-0.313274,0.225234,0.00666508
point,-0.314737,0.226366,0.0070421
point,-0.719623,0.554747,0.204622
point,-0.69343,0.534294,0.196448
point,-0.797425,0.667509,0.373799
point,-0.739629,0.605235,0.252657
point,-0.750979,0.616404,0.257915
point,-0.832029,0.683939,0.290846
point,-0.863814,0.712357,0.303015
point,-0.829411,0.683453,0.289947
point,-0.758466,0.647707,0.351778
point,-0.671646,0.557364,0.225329
point,-0.767962,0.640527,0.263063
point,-0.862422,0.741701,0.406156
point,-0.86431,0.743636,0.408624
point,-0.866195,0.74557,0.411099
point,-0.879293,0.758667,0.416263
point,-0.861836,0.743314,0.407572
point,-0.834293,0.719003,0.393392
point,-0.801407,0.672444,0.275965
point,-0.803793,0.674742,0.278224
point,-0.828786,0.697679,0.286284
point,-0.798805,0.671879,0.275075
point,-0.801194,0.674184,0.277331
point,-0.752576,0.658849,0.257781
point,-0.78025,0.684305,0.270746
point,-0.757424,0.66371,0.262214
point,-0.32013,0.367776,0.0867413
point,-1.01596,0.529473,0.445121
point,-1.06623,0.554323,0.470193
point,-1.12125,0.581527,0.49765
point,-0.95642,0.490219,0.308888
point,-0.959596,0.491955,0.311354
point,-0.308969,0.198125,0.0127269
point,-0.340792,0.224619,0.00908219
point,-0.341886,0.225352,0.00948924
point,-0.347118,0.233564,0.00982914
point,-0.333024,0.224151,0.00383551
point,-0.334044,0.224857,0.00420869
point,-0.342784,0.230597,0.0041395
point,-0.346119,0.233304,0.00486605
point,-0.378372,0.269683,0.00810171
point,-0.73051,0.561869,0.207301
point,-0.886205,0.740478,0.417992
point,-0.801611,0.658002,0.276386
point,-0.813453,0.668663,0.281054
point,-0.845043,0.722797,0.394416
point,-0.829531,0.710468,0.387764
point,-0.87974,0.754644,0.412207
point,-0.844818,0.724667,0.395956
point,-0.881866,0.757036,0.416303
point,-0.789944,0.662316,0.269017
point,-0.791242,0.663653,0.270811
point,-0.763492,0.640788,0.259472
point,-0.801478,0.673197,0.274829
point,-0.843311,0.708891,0.291753
point,-0.457057,0.394573,-0.0169714
point,-0.455196,0.400736,-0.014192
point,-0.455994,0.454668,0.000978065
point,-0.458824,0.460788,0.00577077
point,-0.599584,0.268625,0.0984506
point,-0.599455,0.268696,0.0991954
point,-0.61094,0.273696,0.100793
point,-0.600606,0.269912,0.0993627
point,-0.612073,0.274925,0.100955
point,-0.564976,0.257929,0.0893908
point,-0.60466,0.273209,0.0960834
point,-0.976548,0.493784,0.434382
point,-0.895012,0.468758,0.392538
point,-1.16793,0.601,0.520718
point,-1.16633,0.600503,0.521686
point,-1.16473,0.600003,0.522646
