type,x,y,z
point,-0.443775,0.418883,-0.0336607
point,-0.541444,0.532502,-0.0333238
point,-0.438183,0.411772,-0.0336513
point,-0.432232,0.404204,-0.0336413
point,0.745703,-0.942583,-0.633378
point,0.920788,-1.14672,-0.711462
point,1.04583,-1.29862,-0.7477
point,-0.53943,0.529972,-0.00385736
point,0.556701,-0.80942,-0.288849
point,0.551798,-0.803732,-0.285355
point,-0.459787,0.429025,-0.0330114
point,-0.537147,0.51194,0.00295624
point,-0.360915,0.237682,0.165941
point,-0.222175,0.0446704,0.129448
point,-0.311948,0.160099,0.194541
point,-0.378432,0.272316,0.0666527
point,-0.230391,0.0491898,0.131687
point,-0.421426,0.330091,0.058198
point,-0.425439,0.336175,0.0567484
point,-0.258958,0.0567055,0.257176
point,0.743903,-1.34612,-0.432407
point,0.739332,-1.33999,-0.427904
point,0.788338,-1.40596,-0.606012
point,-0.535488,0.512336,-0.0697054
point,0.629149,-1.20278,-0.406674
point,0.892906,-1.55037,-0.752427
point,-0.229998,0.0700209,-0.209574
point,0.939913,-1.63889,-0.649163
point,0.823673,-1.48372,-0.516367
point,0.819163,-1.47766,-0.5115
point,0.634097,-1.21495,-0.412251
point,0.755773,-1.39202,-0.445315
point,1.03762,-1.77455,-0.773061
point,0.954412,-1.66487,-0.667517
point,0.747662,-1.36319,-0.582319
point,1.10179,-1.87847,-0.714294
point,0.807294,-1.47183,-0.49464
point,0.663248,-1.25949,-0.446382
point,0.761721,-1.40618,-0.45162
point,0.675174,-1.28794,-0.367141
point,0.955621,-1.6733,-0.669796
point,0.712645,-1.33092,-0.507257
point,0.681222,-1.30207,-0.372884
point,0.676657,-1.29579,-0.3686
point,0.983993,-1.74994,-0.512679
point,0.112035,-0.584358,0.358727
point,-0.338504,0.166842,0.114105
point,-0.11532,-0.233366,0.399917
point,0.117136,-0.596802,0.362301
point,-0.294644,0.0879429,0.132803
point,-0.0788531,-0.314886,0.438406
point,0.185026,-0.75165,0.391304
point,-0.0445102,-0.391013,0.467426
point,-0.0388284,-0.404654,0.473662
point,-0.164099,-0.157061,0.177641
point,-0.167701,-0.151031,0.177278
point,-0.445644,0.332789,0.044073
point,0.0116394,-0.529871,0.528477
point,-0.543038,0.495612,0.0270517
point,0.0168893,-0.543618,0.534611
point,-0.53753,0.484955,0.0322038
point,0.0220968,-0.557377,0.540738
point,-0.532055,0.474284,0.0373519
point,0.462256,-1.46631,1.05852
point,0.142175,-0.843962,0.733883
point,0.636666,-1.80996,1.23781
point,0.149975,-0.861832,0.742859
point,0.0941967,-0.736892,0.589467
point,-0.441523,0.294824,0.115742
point,0.0523475,-0.673915,0.644013
point,0.862282,-2.32468,1.37637
point,0.129273,-0.867918,0.668682
point,0.358964,-1.25549,0.48328
point,-0.085202,-0.39625,0.247059
point,-0.0883949,-0.390421,0.247091
point,0.133489,-0.88189,0.674549
point,-0.408738,0.212828,0.158495
point,-0.081909,-0.406243,0.249463
point,-0.0850909,-0.400419,0.249513
point,-0.207833,-0.194266,0.349976
point,-0.0432844,-0.480941,0.250044
point,-0.0465346,-0.475011,0.250292
point,-0.0434044,-0.484994,0.252509
point,-0.0627119,-0.462232,0.261284
point,0.381392,-1.34724,0.503775
point,-0.0627147,-0.466493,0.263829
point,0.0138074,-0.612692,0.257644
point,-0.210703,-0.170733,0.152877
point,0.93946,-3.06279,1.69943
point,0.27798,-1.51376,0.937993
point,0.287891,-1.72681,1.13562
point,0.289581,-1.74153,1.14181
point,-0.230561,-0.377096,0.463312
point,0.310539,-1.87826,1.14432
point,0.15085,-1.4498,0.94176
point,0.149663,-1.44757,0.943939
point,0.464847,-2.33253,0.814077
point,0.973655,-3.75003,1.22318
point,0.337492,-2.15252,1.18651
point,0.223676,-1.81521,1.04231
point,0.322337,-2.22927,1.33569
point,0.321857,-2.22933,1.34011
point,0.214669,-1.90665,1.18002
point,0.213908,-1.90567,1.18344
point,-0.509657,0.310152,0.114861
point,0.216445,-1.92591,1.19201
point,0.35295,-2.37238,1.201
point,0.514279,-2.81321,0.77186
point,0.118416,-1.60557,0.490013
point,0.873292,-4.2267,2.01825
point,0.513587,-2.82766,0.774217
point,0.118565,-1.61677,0.491979
point,0.34988,-2.51812,1.25292
point,-0.0828561,-1.10477,0.674636
point,0.875868,-4.22991,1.86825
point,0.359846,-2.54719,1.21065
point,-0.0674869,-1.15304,0.664117
point,0.321742,-2.5113,1.43452
point,0.324666,-2.54136,1.41214
point,1.26761,-5.7435,2.87063
point,0.324113,-2.55621,1.41753
point,0.323522,-2.55607,1.42229
point,0.323521,-2.57106,1.4229
point,0.85359,-4.68997,1.42141
point,0.737352,-4.95737,2.02709
point,0.309494,-3.18851,1.37621
point,0.679449,-5.18728,2.78919
point,0.243755,-3.22764,1.83939
point,0.342129,-3.43751,1.17374
point,0.321245,-3.74872,1.12201
point,0.5096,-5.70658,2.97385
point,0.504108,-5.72021,2.96838
point,0.149774,-3.70725,2.01832
point,0.502996,-5.72606,2.98957
point,0.256025,-4.01005,1.18581
point,-0.0357499,-2.45287,0.777711
point,0.252316,-4.02515,1.18839
point,0.28503,-4.66667,1.48134
point,0.367645,-6.11483,2.34912
point,0.469489,-7.72922,3.45204
point,0.280414,-6.27244,2.84867
point,0.00546894,-4.24951,2.11648
point,0.686535,-5.61926,-1.67975
point,0.447739,-4.93293,-0.712419
point,0.89091,-6.2482,-2.55347
point,0.645888,-5.99645,-0.842457
point,0.671467,-5.27967,-2.20192
point,0.887356,-7.29658,-1.00147
point,0.432781,-4.94898,-0.692037
point,0.38599,-4.72126,-0.661638
point,0.119161,-4.54683,1.23177
point,0.282472,-6.32329,2.41331
point,0.0296313,-4.3613,1.72525
point,0.275314,-6.34057,2.41698
point,0.0248354,-4.37637,1.72883
point,0.319735,-4.73043,-0.584733
point,0.50295,-6.09862,-0.649641
point,0.325705,-4.23449,-1.8478
point,0.305312,-4.16447,-1.76325
point,-0.34792,-0.751832,-0.539918
point,0.579174,-5.57289,-2.34321
point,0.552932,-5.48201,-2.23487
point,0.0539988,-4.93034,1.11141
point,0.347713,-5.04697,-1.39626
point,0.13008,-4.45713,-0.544215
point,0.203193,-4.98377,-0.597305
point,0.00587159,-6.85722,3.18612
point,-0.00251681,-6.87384,3.19037
point,0.235958,-5.37708,-0.66704
point,0.188838,-5.03318,-0.611329
point,0.226821,-5.32961,-0.641813
point,-0.149565,-4.85418,1.86769
point,0.00536349,-6.94611,2.51896
point,0.2705,-5.75091,-1.19249
point,0.308309,-6.60149,-0.713649
point,0.106738,-5.05713,-0.526198
point,-0.132655,-5.10439,1.47552
point,0.310071,-5.72335,-2.0425
point,0.0196898,-4.67555,-0.546136
point,0.0908109,-5.46504,-0.429674
point,-0.019032,-4.516,-0.364577
point,0.401317,-6.23772,-2.41996
point,0.345187,-5.86088,-2.28456
point,-0.312776,-1.40695,-0.730283
point,0.477821,-6.85553,-2.47051
point,0.460271,-6.79146,-2.3804
point,0.0845851,-5.4795,-0.431226
point,-0.0243077,-4.52804,-0.36587
point,0.64125,-7.90126,-2.99826
point,0.510557,-7.0159,-2.68526
point,-0.142992,-2.63218,-1.08145
point,0.467958,-6.86295,-2.4626
