type,x,y,z
point,-2.61122,-0.260636,0.484417
point,-2.61311,-0.260609,0.487925
point,-2.74476,-0.295803,0.513885
point,-2.95463,-0.287008,0.892999
point,-3.00462,-0.33098,0.690768
point,-2.96905,-0.274734,0.92465
point,-2.97135,-0.27466,0.92904
point,-2.96767,-0.270796,0.923525
point,-2.75049,-0.218091,0.846328
point,-2.75259,-0.21802,0.850344
point,-2.61111,-0.235132,0.483218
point,-2.73752,-0.183901,0.826256
point,-2.9523,-0.231919,0.908239
point,-3.12441,-0.269844,0.965952
point,-3.12688,-0.269739,0.970609
point,-3.14221,-0.31489,0.357927
point,-3.14447,-0.314761,0.362076
point,-3.09952,-0.188509,0.943988
point,-2.95107,-0.176245,0.646785
point,-3.27049,-0.198495,0.987885
point,-3.2729,-0.198256,0.992694
point,-2.94881,-0.172822,0.642048
point,-3.11693,-0.208478,0.689045
point,-3.1145,-0.204829,0.683993
point,-3.11677,-0.204628,0.688351
point,-2.81466,-0.324983,-0.463962
point,-2.81742,-0.325447,-0.462759
point,-3.01165,-0.378102,-0.501505
point,-3.07985,-0.12958,0.919918
point,-3.26108,-0.160626,0.978396
point,-2.95908,-0.10654,0.876011
point,-2.83919,-0.082904,0.837654
point,-3.26235,-0.156148,0.9821
point,-2.96068,-0.102618,0.879486
point,-3.24994,-0.110746,0.966288
point,-2.95608,-0.0630519,0.867562
point,-3.44236,-0.139646,1.03173
point,-3.70733,-0.476716,-0.602679
point,-3.41816,-0.183063,0.465404
point,-3.22115,-0.147997,0.436467
point,-3.21927,-0.144385,0.431555
point,-3.22137,-0.144063,0.435826
point,-3.43186,-0.0827831,1.01862
point,-3.21886,-0.0980656,0.415504
point,-3.22084,-0.0976943,0.419745
point,-3.69793,-0.17049,0.494014
point,-3.226,-0.00608867,0.928635
point,-3.41985,-0.0318159,0.997447
point,-3.0662,0.0130739,0.881506
point,-3.40637,-0.120427,0.435936
point,-3.41927,-0.0275187,0.996526
point,-3.06624,0.0167981,0.880878
point,-3.69485,-0.152257,0.485782
point,-3.4508,-0.11477,0.451332
point,-3.21792,-0.0715253,0.40276
point,-3.44578,-0.103367,0.435614
point,-2.59846,-0.136255,-0.723092
point,-3.57917,-0.342382,-1.03701
point,-3.45592,-0.0646921,0.439051
point,-4.34531,-0.499044,-1.27805
point,-1.97042,0.0533497,-0.34997
point,-3.76782,-0.2714,-0.536544
point,-4.00879,-0.309895,-0.525172
point,-3.28684,0.0299683,0.636217
point,-2.98174,0.0639689,0.56991
point,-3.85975,-0.0304526,0.766092
point,-3.39569,0.0744318,0.937474
point,-3.58921,0.0581827,0.993776
point,-3.59082,0.0587978,0.998696
point,-3.59243,0.0594138,1.00362
point,-3.62006,0.0797394,1.09092
point,-3.62158,0.0803799,1.09589
point,-3.61961,0.0842749,1.08999
point,-3.62112,0.0849186,1.09496
point,-3.96324,-0.068408,0.36622
point,-3.96601,-0.0678708,0.371506
point,-3.96405,-0.0634856,0.365454
point,-3.96681,-0.0629435,0.370739
point,-3.16517,0.127413,0.853299
point,-3.23317,0.123951,0.874147
point,-0.892886,0.318256,0.187438
point,-3.58836,0.107298,0.985056
point,-3.59972,0.112532,1.02399
point,-3.58692,0.111103,0.979432
point,-3.77386,0.0956118,1.04245
point,-3.59817,0.116354,1.0183
point,-3.59957,0.117014,1.02317
point,-3.60096,0.117675,1.02804
point,-3.59942,0.121495,1.02235
point,-3.61023,0.20532,1.06146
point,-3.77786,0.19444,1.0266
point,-3.25141,0.218814,0.867288
point,-3.18099,0.238903,0.86254
point,-3.7843,0.223382,1.05725
point,-3.785,0.224157,1.06215
point,-3.78378,0.227327,1.0516
point,-3.78446,0.228102,1.05649
point,-3.78513,0.228878,1.06138
point,-3.56211,0.215714,0.827844
point,-4.36479,0.0682035,0.374372
point,-4.72821,0.0455405,0.4089
point,-3.78448,0.272156,1.02963
point,-3.79257,0.306879,1.12256
point,-3.25577,0.31382,0.94559
point,-3.25529,0.314497,0.949371
point,-3.79273,0.312405,1.12647
point,-4.90918,-0.325796,-2.07999
point,-5.16687,0.114388,0.489184
point,-1.69195,0.156578,-0.60042
point,-1.0001,0.260029,-0.27976
point,-6.74752,-0.0529657,0.0734743
point,-3.79082,0.382607,1.16665
point,-3.53992,0.278652,0.228298
point,-4.5269,0.284534,0.449357
point,-4.15518,0.290758,0.410785
point,-4.52965,0.290287,0.448676
point,-4.52192,0.288007,0.451192
point,-3.91177,0.470213,1.16871
point,-4.2516,0.404729,0.578884
point,-4.21956,0.391609,0.433595
point,-4.59906,0.398837,0.476969
point,-4.02549,0.392404,0.413254
point,-3.89082,0.525383,1.19657
point,-4.603,0.404777,0.476421
point,-3.9597,0.500736,1.02303
point,-4.26875,0.433882,0.587661
point,-3.81614,0.424308,0.520346
point,-4.63293,0.432963,0.572403
point,-4.03719,0.421518,0.493247
point,-4.64774,0.445223,0.645511
point,-4.64832,0.460034,0.551662
point,-4.602,0.429172,0.333149
point,-4.63554,0.452711,0.472092
point,-5.03678,0.440776,0.367889
point,-5.49125,0.453395,0.404118
point,-3.95876,0.553598,1.03388
point,-3.95697,0.554321,1.03827
point,-3.99831,0.55839,1.04503
point,-3.99471,0.559015,1.04894
point,-4.72244,0.572983,0.963139
point,-4.03308,0.537616,0.810751
point,-4.72505,0.579157,0.96269
point,-5.09052,0.596474,1.0518
point,-4.14788,0.547087,0.841377
point,-2.80531,0.565299,0.946653
point,-2.79979,0.565353,0.947753
point,-5.22003,0.564429,0.455978
point,-4.72559,0.579166,0.405228
point,-5.181,0.606811,0.44816
point,-5.18159,0.60796,0.4549
point,-4.7723,0.668167,0.889805
point,-3.96441,0.666415,1.05158
point,-3.95976,0.666821,1.05511
point,-3.13946,0.593783,0.811963
point,-3.95914,0.671718,1.05407
point,-3.13863,0.597519,0.811056
point,-4.79278,0.661702,0.429787
point,-4.7936,0.662783,0.436006
point,-3.91618,0.717507,1.06761
point,-3.92567,0.721786,1.05994
point,-3.92036,0.722033,1.06319
point,-3.91503,0.722274,1.06642
point,-6.07486,0.769684,0.534355
point,-5.27228,0.710694,0.461056
point,-5.27899,0.718025,0.460541
point,-3.47971,0.628884,0.5709
point,-0.806169,0.385656,0.0680153
point,-6.32787,0.955162,0.534451
point,-5.99994,0.910073,0.313183
point,-4.38954,0.482208,-1.794
point,-8.36019,1.21293,-0.926541
point,-2.63525,0.780989,0.840551
point,-2.6226,0.779041,0.838793
point,-1.51279,0.56475,0.415632
point,-4.20007,0.97911,0.7308
point,-4.18988,0.978282,0.734075
point,-3.14573,0.805055,0.531489
point,-6.64705,0.969785,-1.37914
point,-4.19913,0.984246,0.729711
point,-4.18886,0.983389,0.732971
point,-7.96136,1.10587,-1.66861
point,-8.96086,1.34346,-1.05035
point,-8.47305,1.28773,-0.985222
point,-3.56558,0.927251,0.850406
point,-3.55356,0.925768,0.8515
point,-6.68336,1.03108,-1.42424
point,-7.99278,1.17695,-1.73118
point,-6.6925,1.04095,-1.42777
point,-6.44011,0.892551,-2.24174
point,-12.0604,2.306,0.35092
point,-9.80149,1.93545,0.293471
point,-7.31811,1.51704,0.218705
point,-10.093,1.36496,-4.5332
point,-1.02676,0.5028,0.189876
point,-1.35933,0.586614,0.306241
point,-2.19978,0.778218,0.460008
point,-7.81073,1.84392,0.161583
point,-1.02448,0.507783,0.212403
point,-1.45672,0.613076,0.324353
point,-5.97504,1.59622,0.778047
point,-5.94715,1.59122,0.781823
point,-5.8453,1.59483,0.786135
point,-5.81612,1.58937,0.789405
point,-3.92601,1.15793,0.505766
