type,x,y,z
point,7.65823,5.61604,2.05305
point,1.43966,1.49142,0.347744
point,3.26467,2.71242,0.45683
point,-0.271044,0.34048,0.0688402
point,3.6611,2.94861,0.567358
point,4.62536,3.56443,0.839748
point,-0.518222,0.178886,0.00971309
point,-0.505119,0.188601,0.0123175
point,0.0354845,0.536202,0.140756
point,-0.563829,0.148838,-0.00597391
point,-0.50682,0.185308,0.0118448
point,-0.485959,0.197067,0.028897
point,-0.34616,0.286288,0.0468425
point,-0.512347,0.180132,0.0109347
point,-0.490265,0.195779,0.0157461
point,-0.359963,0.277146,0.0413517
point,0.14987,0.611094,0.177255
point,0.538924,0.855727,0.278106
point,0.537328,0.852888,0.273211
point,1.70372,1.55066,0.789627
point,0.686009,0.946429,0.219433
point,1.34783,1.35963,0.371276
point,0.406977,0.775162,0.127955
point,3.14826,2.50389,0.423467
point,0.336014,0.728347,0.117423
point,-0.18282,0.3857,0.0883012
point,3.59804,2.75589,0.707701
point,-0.542578,0.158318,0.00350849
point,-0.135891,0.41862,0.0997195
point,0.411446,0.766573,0.16089
point,0.40657,0.751712,0.228384
point,0.288935,0.676195,0.19327
point,0.114527,0.567265,0.15564
point,0.111149,0.563585,0.16086
point,-0.218756,0.368291,0.0315006
point,0.0363833,0.521553,0.0978387
point,0.299145,0.673271,0.18807
point,0.0776759,0.534729,0.17176
point,0.062188,0.529655,0.15985
point,0.253899,0.644667,0.0938612
point,-0.117335,0.417044,0.112208
point,-0.204556,0.364836,0.0773546
point,-0.263229,0.329675,0.0812226
point,0.070501,0.522221,0.17504
point,0.00336847,0.482958,0.159276
point,0.0337909,0.499532,0.16491
point,-0.389425,0.246274,0.0533698
point,-0.193256,0.363261,0.047029
point,1.14149,1.15604,0.272673
point,1.12857,1.14267,0.314871
point,-0.548532,0.149165,0.00280808
point,-0.529189,0.160247,0.0074987
point,-0.128643,0.40942,0.0349654
point,-0.270375,0.313772,0.0657857
point,-0.286043,0.304567,0.106979
point,-0.0356039,0.455235,0.0902216
point,-0.279032,0.314086,0.0666595
point,1.30381,1.22185,0.321159
point,0.0497643,0.502896,0.0652036
point,-0.138948,0.390819,0.0771957
point,-0.265014,0.308556,0.0655085
point,-0.162936,0.380287,0.0367158
point,-0.158986,0.378511,0.0731263
point,-0.154712,0.376208,0.0817928
point,-0.572836,0.133897,-0.00806553
point,0.0158723,0.467963,0.127417
point,-0.307213,0.291262,0.0660349
point,0.0342691,0.490728,0.0757818
point,-0.344115,0.267728,0.0305854
point,2.84745,2.05905,0.681717
point,-0.288105,0.300541,0.0801825
point,-0.304992,0.294582,0.0209725
point,-0.540194,0.152619,0.0145181
point,3.50025,2.38247,0.826619
point,2.71313,1.94439,0.664735
point,-0.61364,0.108854,-0.0152175
point,-0.0230925,0.445959,0.0721584
point,0.192739,0.557344,0.139469
point,0.0793545,0.490596,0.119922
point,-0.344906,0.264951,0.0616541
point,0.334743,0.624466,0.25834
point,-0.223762,0.327819,0.103603
point,0.0379,0.467378,0.117351
point,-0.32816,0.274015,0.0169647
point,-0.288501,0.296747,0.019538
point,-0.200471,0.334716,0.101813
point,-0.171034,0.351745,0.0428422
point,-0.132013,0.366628,0.121869
point,-0.403006,0.231373,0.0106703
point,-0.0245618,0.424035,0.0769893
point,-0.254169,0.296497,0.0618631
point,0.695921,0.785565,0.340209
point,-0.208485,0.324465,0.089698
point,-0.297839,0.278429,0.0735752
point,-0.309564,0.273012,0.0377171
point,-0.311515,0.26794,0.0533837
point,-0.305261,0.266317,0.0496866
point,-0.322098,0.261943,0.050926
point,-0.389298,0.222518,0.0328902
point,-0.371502,0.227772,0.0463903
point,-0.211542,0.3124,0.0613507
point,-0.229294,0.303063,0.0594328
point,-0.389402,0.21696,0.0526431
point,-0.487704,0.167471,0.0264938
point,-0.390418,0.215918,0.052253
point,-0.488433,0.166745,0.0262128
point,-0.291005,0.264732,0.0719269
point,-0.296374,0.261709,0.0732195
point,-0.308619,0.255263,0.0698709
point,-0.109963,0.345954,0.0626165
point,-0.313137,0.226159,0.0161774
point,-0.393238,0.127911,-0.122234
point,-0.535737,0.082365,-0.0792645
