type,x,y,z
point,-0.714351,-0.0974954,-0.196882
point,-0.69362,-0.0906988,-0.190795
point,-0.719589,-0.0986907,-0.198317
point,-0.697986,-0.0916242,-0.191991
point,-0.896392,-0.154586,-0.249931
point,-0.17956,0.0798865,-0.0131068
point,-0.87125,-0.14283,-0.268508
point,-0.810403,-0.106021,-0.211802
point,-0.896718,-0.105764,0.0930326
point,-0.896967,-0.105768,0.0943205
point,-0.916404,-0.110351,0.0964643
point,-0.914495,-0.0768353,0.268696
point,-0.933618,-0.0806197,0.274425
point,-0.828344,-0.0708529,-0.0976033
point,-0.845562,-0.0745416,-0.0995532
point,-0.95168,-0.0923848,0.0603392
point,-0.925239,-0.0859788,0.0598099
point,-0.840042,-0.0784516,-0.241655
point,-0.943948,-0.0823385,0.0641267
point,-0.930227,-0.079135,0.0637675
point,-0.934335,-0.0758172,0.110676
point,-0.868004,-0.064238,-0.00412086
point,-0.884148,-0.0679424,-0.0166281
point,-0.849184,-0.0587119,-0.126152
point,-0.938594,-0.0612676,0.238424
point,-0.9407,-0.0576061,0.322228
point,-0.958913,-0.0648506,0.243696
point,-0.851287,-0.0539673,-0.0811976
point,-0.858411,-0.0561216,-0.0811939
point,-0.951664,-0.0673475,0.133107
point,-0.936163,-0.0640063,0.131499
point,-0.936439,-0.0640005,0.132854
point,-0.959711,-0.0636734,0.243853
point,-0.847572,-0.0418721,-0.0711188
point,-0.865524,-0.0450113,-0.0725421
point,-0.853998,-0.0425771,-0.0710369
point,-0.875533,-0.0444972,-0.0199401
point,-0.986171,-0.051524,0.328637
point,-0.967395,-0.0469643,0.328964
point,-0.871842,-0.0456759,-0.0724399
point,-1.00809,-0.0549691,0.336061
point,-0.950497,-0.0424743,0.322388
point,-0.950815,-0.0424693,0.323821
point,-0.974179,-0.0386076,0.41703
point,-0.856754,-0.0349418,-0.0393392
point,-0.872397,-0.0380917,-0.0535962
point,-0.872632,-0.0380785,-0.0523713
point,-0.860842,-0.0357027,-0.0511227
point,-0.875,-0.0379472,-0.0400906
point,-0.930596,-0.040623,0.142887
point,-0.893707,-0.041079,-0.0421285
point,-0.875535,-0.0368177,-0.0401664
point,-1.0124,-0.0540567,0.153757
point,-0.979188,-0.0394782,0.264314
point,-0.870367,-0.0305179,-0.0835318
point,-0.88927,-0.0334874,-0.0852621
point,-0.877134,-0.0311511,-0.0835434
point,-0.882855,-0.0208074,-0.0412286
point,-0.883102,-0.0207911,-0.0399862
point,-0.419171,0.0716464,-0.105828
point,-0.883365,-0.0196499,-0.0413045
point,-0.90243,-0.0235657,-0.0407726
point,-0.983511,-0.0198559,0.330727
