type,x,y,z
point,-0.28295,-0.099652,-0.0273915
point,-0.282437,-0.0992166,-0.0273831
point,-0.463305,-0.168499,0.0204836
point,-0.278462,-0.0956217,-0.0275378
point,-0.463702,-0.168312,0.0204892
point,-0.367586,0.0726109,0.0989656
point,-0.297329,0.0626883,0.0763922
point,-0.598907,0.112867,0.218265
point,-0.607444,0.114269,0.22247
point,-0.601227,0.114045,0.219078
point,-0.657092,0.121153,0.207582
point,-0.663509,0.123047,0.209676
point,-0.786787,0.150816,0.287013
point,-1.08926,0.201301,0.405135
point,-0.91461,0.172796,0.337169
point,-2.54967,0.441598,0.759712
point,-0.970235,0.211188,0.355804
point,-1.23928,0.264408,0.460391
point,-1.13763,0.244948,0.419471
point,-0.86993,0.240152,0.283952
point,-0.899714,0.247764,0.294911
point,-8.79232,1.95166,0.734683
point,-7.15589,1.76797,0.586791
point,-7.14001,1.77376,0.584464
point,-2.22348,0.604571,0.561983
point,-2.60468,0.705067,0.663152
point,-1.21441,0.340957,0.0188572
point,-0.124354,-0.111109,-0.0492678
point,-0.128243,-0.112792,-0.0492624
point,-0.13693,-0.116354,-0.0500626
point,-0.503983,-0.29146,-0.229511
point,-0.234006,-0.156401,-0.0558969
point,-0.564363,0.106465,0.215518
point,-0.542811,0.103422,0.207294
point,-0.578878,0.109892,0.221848
point,-0.564027,0.107108,0.21719
point,-0.895425,0.0779138,-0.514885
point,-0.817374,0.0723193,-0.478037
point,-0.747074,0.067252,-0.444848
point,-1.66696,0.159169,-0.874801
point,-1.31535,0.128882,-0.712759
point,-1.08181,0.10991,-0.602537
point,-0.93067,0.15576,-0.53931
point,-0.628967,0.138581,0.228601
point,-0.690202,0.151769,0.260082
point,-0.699803,0.153748,0.264797
point,-0.709383,0.155726,0.26953
point,-0.677253,0.149933,0.256241
point,-0.0323622,0.0229425,0.00136346
point,-0.0941819,0.0349863,0.0194281
point,-0.0641312,0.0307704,0.0100993
point,-0.713831,0.188735,0.245406
point,-0.994384,0.28059,0.345627
point,-0.99416,0.287722,0.333943
point,-0.969348,0.281934,0.325453
point,-0.589203,0.178233,0.13768
point,-0.61146,0.19495,0.13305
point,-0.511195,0.167668,0.108996
kf,0.224499,-0.00952652,-0.0783084
