time,seconds_elapsed,z,y,x
1778601107546000000,0.0,0.005192350596189499,0.050090912729501724,0.054214250296354294
1778601107556775937,0.010775937000000001,-0.0019853105768561363,0.04001164436340332,0.06368265300989151
1778601107567551875,0.021551875,-0.0,0.045967575162649155,0.052687086164951324
1778601107578327812,0.032327812000000004,0.009315688163042068,0.035735588520765305,0.031001387163996696
1778601107589103750,0.04310375,0.010995565913617611,0.002443459117785096,0.017715077847242355
1778601107599879687,0.053879687,0.009773836471140385,-0.0032070400193333626,0.013897174037992954
1778601107610655677,0.06465567700000001,0.012522728182375431,0.016340631991624832,0.0013744457392022014
1778601107621431562,0.07543156200000001,0.014202605932950974,0.018325943499803543,-0.023518294095993042
1778601107632207604,0.08620760400000001,0.0154243353754282,0.017104214057326317,-0.04459312930703163
1778601107642983541,0.096983541,0.021991131827235222,0.02367101050913334,-0.05696314200758934
1778601107653759479,0.107759479,0.02779434807598591,0.02977965772151947,-0.047494735568761826
1778601107664535416,0.118535416,0.02367101050913334,0.025350889191031456,-0.017715077847242355
1778601107675311406,0.12931140600000002,0.014660755172371864,0.02107483521103859,0.011453714221715927
1778601107686087395,0.140087395,0.005192350596189499,0.011911863461136818,0.02779434807598591
1778601107696863333,0.15086333300000002,-0.004123337101191282,0.002443459117785096,0.02412915788590908
1778601107707639270,0.16163927,-0.016340631991624832,-0.016798781231045723,0.014660755172371864
1778601107718415260,0.17241526000000001,-0.024434590712189674,-0.028405211865901947,0.0062613640911877155
1778601107729191145,0.183191145,-0.022754713892936707,-0.01511890348047018,-0.004428769461810589
1778601107739967187,0.193967187,-0.012980876490473747,0.001221729558892548,-0.017715077847242355
1778601107750743125,0.20474312500000003,-0.001679878099821508,0.010079269297420979,-0.01893680728971958
1778601107761519062,0.215519062,-0.003665188793092966,0.007635809946805239,-0.019853105768561363
1778601107772295000,0.22629500000000002,-0.007024944759905338,0.008093958720564842,-0.016187917441129684
1778601107783071041,0.237071041,-0.010537417605519295,0.016187917441129684,-0.010384701192378998
1778601107793846979,0.24784697900000002,-0.014966187067329884,0.028099779039621353,-0.003665188793092966
1778601107804622916,0.25862291600000004,-0.018784092739224434,0.020769402384757996,-0.001832594396546483
1778601107815398958,0.269398958,-0.026878049597144127,-0.0,-0.009621120058000088
1778601107826174895,0.28017489500000003,-0.02932151034474373,-0.014660755172371864,-0.012980876490473747
1778601107836950833,0.290950833,-0.029626941308379173,-0.013439024798572063,-0.008093958720564842
1778601107847726823,0.30172682300000003,-0.028863361105322838,-0.010537417605519295,0.0001527161948615685
1778601107858502812,0.312502812,-0.02367101050913334,0.000305432389723137,0.002901607658714056
